Model,GPU,TP,PP,Energy/req (J),Avg TPOT (s),Token tput (tok/s),Avg Output Tokens,Avg BS (reqs),Max BS (reqs)
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,58.2032515256592,0.09711312340854304,2289.1427192562737,482.8205,255.44093834336724,256
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,56.59848084111025,0.11608570649570985,2342.560104448569,483.5195,319.1868381240545,320
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,58.48556596819128,0.18627272546616358,2022.0482759906436,481.273,509.83740157480315,512
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,82.58581692374547,0.03505461148244233,1784.7186737216616,482.798,63.88024385827247,64
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,55.76962132009596,0.23172307257344654,2176.7455002491197,482.9805,761.7482185273159,768
microsoft/Phi-3-medium-4k-instruct,NVIDIA H100 80GB HBM3,1,1,93.80147684958534,0.0683479271400883,1749.9422629741885,471.7805,127.76563573883162,128
microsoft/Phi-3-medium-4k-instruct,NVIDIA H100 80GB HBM3,1,1,88.7281171111001,0.09476535674515352,1821.1842192430981,468.879,191.63031393067365,192
microsoft/Phi-3-medium-4k-instruct,NVIDIA H100 80GB HBM3,1,1,85.71238440316809,0.1223711186454241,1819.448583211722,473.1575,255.4664570230608,256
microsoft/Phi-3-medium-4k-instruct,NVIDIA H100 80GB HBM3,1,1,85.26807792309314,0.15076236077027286,1763.296350805923,468.342,319.242064516129,320
microsoft/Phi-3-medium-4k-instruct,NVIDIA H100 80GB HBM3,1,1,84.22836656225145,0.22663418553115292,1673.0480388800574,470.882,509.8372277227723,512
microsoft/Phi-3-medium-4k-instruct,NVIDIA H100 80GB HBM3,1,1,116.72093407962703,0.0434570115196138,1438.337883974801,468.8085,63.87712887842943,64
microsoft/Phi-3-mini-4k-instruct,NVIDIA H100 80GB HBM3,1,1,62.77921475782901,0.059903353669665434,1990.6701626416075,481.2895,127.7682514646237,128
microsoft/Phi-3-mini-4k-instruct,NVIDIA H100 80GB HBM3,1,1,58.70265225909801,0.08111878269030422,2135.6849934107013,476.7835,191.6329381192139,192
microsoft/Phi-3-mini-4k-instruct,NVIDIA H100 80GB HBM3,1,1,56.41697050669673,0.10220624273070623,2171.8613521783977,476.3005,255.4673304293715,256
microsoft/Phi-3-mini-4k-instruct,NVIDIA H100 80GB HBM3,1,1,55.03357975276919,0.11528237101149827,2319.9520520823626,475.4135,319.25312261024726,320
microsoft/Phi-3-mini-4k-instruct,NVIDIA H100 80GB HBM3,1,1,73.0179400847548,0.03684493908549283,1696.3250202272677,480.829,63.88095525997581,64
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,45.31817959641047,0.23237444487905365,2335.3408918690075,410.247,1010.230921704658,1024
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,55.916262884223286,0.058605486828893015,2028.2699914064474,409.7565,127.74142581888246,128
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,53.99349463044879,0.08322569627026162,2097.4637161233004,407.363,191.59764619345347,192
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,56.15085624361978,0.11213027624360897,1913.9858981190214,411.927,255.42976939203353,256
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,49.963516203369124,0.11074660518340339,2295.0057578002725,412.222,319.2089805139791,320
microsoft/Phi-3-small-8k-instruct,NVIDIA H100 80GB HBM3,1,1,51.25901005111362,0.17764611539837916,2027.6631858472501,408.8365,509.96852836879435,512
